word_id,label_display,label_speech,pos,category,is_core,page,position_index,symbol_file,audio_human_file,freq_rank,source_note,therapist_ok
mau,MAU,mau,kerja,inti,true,0,0,mau.png,,60,OS2018 r=60; B03 'want'; PC36 'want'; fungsi meminta,belum
berhenti,BERHENTI,berhenti,kerja,inti,true,0,1,custom/berhenti.png,,185,OS2018 r=185; PC36 'stop'; protes yang tidak punya kata keluar sebagai perilaku,belum
bantu,BANTU,bantu,kerja,inti,true,0,2,bantu.png,,540,OS2018 r=540; B03 'help'; PC36 'help',belum
tidak,TIDAK,tidak,pengatur,inti,true,0,3,tidak.png,,4,OS2018 r=4; B03 'no'; PC36 'not'; fungsi menolak,belum
selesai,SELESAI,selesai,pengatur,inti,true,0,4,selesai.png,,306,OS2018 r=306; B03 'all done/finished'; PC36 'finished',belum
sakit,SAKIT,sakit,sifat,perasaan,true,0,5,sakit.png,,237,OS2018 r=237; bukan kata inti literatur; sengaja dipasang untuk keselamatan: anak autis nonverbal mengomunikasikan nyeri lewat perilaku (tinjauan cakupan Paediatric and Neonatal Pain 2023),belum
aku,AKU,aku,ganti,inti,true,0,6,custom/aku.png,,1,OS2018 r=1; B03 'I'; PC36 'I',belum
makan,MAKAN,makan,kerja,aktivitas,true,0,7,makan.png,,169,OS2018 r=169; kebutuhan dasar; meminta adalah fungsi pertama yang diajarkan (Bondy & Frost 1994),belum
minum,MINUM,minum,kerja,aktivitas,true,0,8,minum.png,,329,OS2018 r=329; kebutuhan dasar; meminta adalah fungsi pertama yang diajarkan (Bondy & Frost 1994),belum
ya,YA,ya,pengatur,inti,true,0,9,ya.png,,23,OS2018 r=23; B03 'yes'; pasangan TIDAK,belum
lagi,LAGI,lagi,pengatur,inti,true,0,10,lagi.png,,47,OS2018 r=47; B03 'more'; PC36 'more',belum
itu,ITU,itu,pengatur,inti,true,0,11,itu.png,,6,OS2018 r=6; B03 'that'; PC36 'that'; meminta benda apa pun tanpa kata benda (AKU MAU ITU),belum
kamu,KAMU,kamu,ganti,inti,true,1,6,custom/kamu.png,,29,OS2018 r=29; B03 'you'; PC36 'you',belum
dia,DIA,dia,ganti,inti,true,1,7,custom/dia.png,,8,OS2018 r=8; PC36 'he/she',belum
kita,KITA,kita,ganti,inti,true,1,8,kita.png,,12,OS2018 r=12; kita inklusif; 'kami' dibuang,belum
ini,INI,ini,pengatur,inti,true,1,9,custom/ini.png,,5,OS2018 r=5; B03 'it',belum
lihat,LIHAT,lihat,kerja,inti,true,1,10,lihat.png,,83,OS2018 r=83; PC36 'look',belum
jangan,JANGAN,jangan,pengatur,inti,true,1,11,custom/jangan.png,,46,OS2018 r=46; negasi imperatif; pasangan TIDAK,belum
sudah,SUDAH,sudah,pengatur,inti,true,1,12,custom/sudah.png,,28,OS2018 r=28; aspek selesai; pasangan BELUM,belum
belum,BELUM,belum,pengatur,inti,true,1,13,custom/belum.png,,141,OS2018 r=141; negasi aspek; pasangan SUDAH,belum
boleh,BOLEH,boleh,pengatur,inti,true,1,14,custom/boleh.png,,201,OS2018 r=201; izin; sangat sering dalam tutur anak-orang tua,belum
bisa,BISA,bisa,kerja,inti,true,1,15,bisa.png,,14,OS2018 r=14; PC36 'can',belum
ada,ADA,ada,kerja,inti,true,1,16,custom/ada.png,,15,OS2018 r=15; eksistensial; tak ada padanan Inggris tunggal,belum
punya,PUNYA,punya,kerja,inti,true,2,6,custom/punya.png,,48,OS2018 r=48; B03 'my/mine'; bentuk -ku tak bisa disimbolkan,belum
ayo,AYO,ayo,pengatur,inti,true,2,7,ayo.png,,64,OS2018 r=64; ajakan; pembuka interaksi,belum
tunggu,TUNGGU,tunggu,kerja,inti,true,2,8,tunggu.png,,122,OS2018 r=122; regulasi giliran,belum
suka,SUKA,suka,kerja,inti,true,2,9,suka.png,,150,OS2018 r=150; PC36 'like',belum
sama,SAMA,sama,pengatur,inti,true,2,10,sama.png,,121,OS2018 r=121; 'dengan' dalam tutur anak (sama ibu),belum
semua,SEMUA,semua,pengatur,inti,true,2,11,semua.png,,38,OS2018 r=38; PC36 'all',belum
banyak,BANYAK,banyak,pengatur,inti,true,2,12,custom/banyak.png,,74,OS2018 r=74; kuantitas; pasangan SEDIKIT,belum
sedikit,SEDIKIT,sedikit,pengatur,inti,true,2,13,custom/sedikit.png,,164,OS2018 r=164; kuantitas; pasangan BANYAK,belum
sini,SINI,sini,pengatur,inti,true,2,14,custom/sini.png,,40,OS2018 r=40; B03 'here'; PC36 'here',belum
atas,ATAS,atas,pengatur,inti,true,2,15,atas.png,,171,OS2018 r=171; B03 'on'; PC36 'up/on',belum
bawah,BAWAH,bawah,pengatur,inti,true,2,16,bawah.png,,274,OS2018 r=274; pasangan ATAS,belum
apa,APA,apa,tanya,tanya,true,3,6,apa.png,,11,OS2018 r=11; B03 'what'; PC36 'what',belum
siapa,SIAPA,siapa,tanya,tanya,true,3,7,siapa.png,,62,OS2018 r=62; PC36 'who',belum
mana,MANA,mana,tanya,tanya,true,3,8,mana.png,,97,OS2018 r=97; PC36 'where'; 'di mana' disingkat,belum
kenapa,KENAPA,kenapa,tanya,tanya,true,3,9,kenapa.png,,67,OS2018 r=67; PC36 'why'; 'mengapa' formal dibuang,belum
sekarang,SEKARANG,sekarang,pengatur,waktu,true,3,10,sekarang.png,,39,OS2018 r=39; waktu; pasangan NANTI,belum
nanti,NANTI,nanti,pengatur,waktu,true,3,11,nanti.png,,285,OS2018 r=285; penundaan; alat regulasi bagi pendamping,belum
halo,HALO,halo,sosial,sosial,true,3,12,halo.png,,246,OS2018 r=246; sapaan,belum
dadah,DADAH,dadah,sosial,sosial,true,3,13,custom/dadah.png,,11154,OS2018 r=11154; register anak untuk 'sampai jumpa',belum
makasih,MAKASIH,makasih,sosial,sosial,true,3,14,custom/makasih.png,,2359,OS2018 r=2359; 'terima kasih' bigram; unigram makasih dipakai,belum
maaf,MAAF,maaf,sosial,sosial,true,3,15,custom/maaf.png,,101,OS2018 r=101; perbaikan interaksi,belum
tolong,TOLONG,tolong,sosial,sosial,true,3,16,custom/tolong.png,,158,OS2018 r=158; permintaan sopan; beda fungsi dari BANTU,belum
sayang,SAYANG,sayang,sosial,sosial,true,3,17,sayang.png,,179,OS2018 r=179; afeksi; sangat kultural,belum
pergi,PERGI,pergi,kerja,aktivitas,true,4,6,pergi.png,,36,OS2018 r=36; B03 'go'; PC36 'go',belum
pulang,PULANG,pulang,kerja,aktivitas,true,4,7,custom/pulang.png,,239,OS2018 r=239; khas Indonesia; sangat sering di rumah,belum
masuk,MASUK,masuk,kerja,aktivitas,true,4,8,masuk.png,,129,OS2018 r=129; B03 'in' diwujudkan sebagai verba,belum
keluar,KELUAR,keluar,kerja,aktivitas,true,4,9,keluar.png,,98,OS2018 r=98; B03 'out' diwujudkan sebagai verba,belum
naik,NAIK,naik,kerja,aktivitas,true,4,10,naik.png,,467,OS2018 r=467; naik motor/angkot; pasangan TURUN,belum
turun,TURUN,turun,kerja,aktivitas,true,4,11,turun.png,,475,OS2018 r=475; pasangan NAIK,belum
jalan,JALAN,jalan,kerja,aktivitas,true,4,12,jalan.png,,186,OS2018 r=186; jalan-jalan; motorik,belum
duduk,DUDUK,duduk,kerja,aktivitas,true,4,13,duduk.png,,324,OS2018 r=324; instruksi rutin,belum
tidur,TIDUR,tidur,kerja,aktivitas,true,4,14,tidur.png,,238,OS2018 r=238; rutinitas harian,belum
ambil,AMBIL,ambil,kerja,aktivitas,true,4,15,ambil.png,,276,OS2018 r=276; PC36 'get',belum
kasih,KASIH,kasih,kerja,aktivitas,true,4,16,kasih.png,,76,OS2018 r=76; 'beri' register anak,belum
